FEATURE IMPORTANCE - Random Forest
Dataset: Completo | Clustering: Não
====================================================================================================
Posição  Feature                                            Importância     % Total    % Acumulado 
----------------------------------------------------------------------------------------------------
1        LEITOS_POR_POPULACAO                               0.209077        20.9077    20.9077     
2        populacao_homens_75_79                             0.065208        6.5208     27.4285     
3        populacao_homens_20_24                             0.014118        1.4118     28.8403     
4        populacao_mulheres_75_79                           0.013419        1.3419     30.1821     
5        taxa_densidade_2_mais                              0.011628        1.1628     31.3449     
6        populacao_homens_70_74                             0.011141        1.1141     32.4591     
7        populacao_homens_65_69                             0.011022        1.1022     33.5613     
8        taxa_atraso_1_fundamental                          0.010894        1.0894     34.6507     
9        taxa_freq_liquida_pre                              0.010631        1.0631     35.7138     
10       taxa_atraso_2_fundamental                          0.009728        0.9728     36.6866     
11       taxa_analfabetismo_15_a_17                         0.009294        0.9294     37.6160     
12       taxa_sem_fund_informal                             0.008733        0.8733     38.4893     
13       renda_pc_quintil_4                                 0.008140        0.8140     39.3033     
14       populacao_mulheres_40_44                           0.008111        0.8111     40.1143     
15       populacao_homens_25_29                             0.008039        0.8039     40.9183     
16       taxa_freq_4_6                                      0.007864        0.7864     41.7046     
17       taxa_atividade_10_14                               0.007842        0.7842     42.4888     
18       taxa_mulheres_chefe_filho_15m                      0.007709        0.7709     43.2598     
19       taxa_banheiro_agua_encanada                        0.007622        0.7622     44.0219     
20       pea_18_mais                                        0.007588        0.7588     44.7807     
21       populacao_mulheres_35_39                           0.007502        0.7502     45.5309     
22       taxa_envelhecimento                                0.007352        0.7352     46.2661     
23       taxa_atraso_1_basico                               0.007011        0.7011     46.9671     
24       taxa_freq_bruta_pre                                0.006772        0.6772     47.6443     
25       taxa_freq_0_3                                      0.006659        0.6659     48.3102     
26       populacao_mulheres_25_29                           0.006609        0.6609     48.9711     
27       populacao_homens_60_64                             0.006442        0.6442     49.6154     
28       taxa_freq_bruta_fundamental                        0.006395        0.6395     50.2549     
29       populacao_homens_30_34                             0.005770        0.5770     50.8319     
30       populacao_dom_pp                                   0.005756        0.5756     51.4075     
31       taxa_criancas_fora_escola_4_5                      0.005672        0.5672     51.9747     
32       taxa_atividade_18_24                               0.005635        0.5635     52.5382     
33       prob_sobrevivencia_40                              0.005619        0.5619     53.1002     
34       populacao_homens_80_mais                           0.005444        0.5444     53.6446     
35       populacao_mulheres_70_74                           0.005419        0.5419     54.1865     
36       populacao_mulheres_65_69                           0.005398        0.5398     54.7264     
37       taxa_freq_fundamental_18_24                        0.005318        0.5318     55.2582     
38       renda_pc_max_quintil_4                             0.005187        0.5187     55.7768     
39       populacao_homens_50_54                             0.005169        0.5169     56.2938     
40       taxa_freq_fundamental_4_5                          0.004940        0.4940     56.7878     
41       prop_ocupados_extracao                             0.004928        0.4928     57.2806     
42       taxa_fundamental_11_13                             0.004886        0.4886     57.7692     
43       prop_ocupados_agropecuaria                         0.004856        0.4856     58.2548     
44       taxa_analfabetismo_18_a_24                         0.004854        0.4854     58.7402     
45       taxa_freq_5_6                                      0.004798        0.4798     59.2200     
46       populacao_mulheres_45_49                           0.004798        0.4798     59.6998     
47       populacao_homens_40_44                             0.004774        0.4774     60.1771     
48       populacao_mulheres_20_24                           0.004739        0.4739     60.6510     
49       taxa_atraso_2_basico                               0.004722        0.4722     61.1232     
50       taxa_atraso_2_medio                                0.004705        0.4705     61.5938     
51       taxa_ocupados_carteira                             0.004673        0.4673     62.0611     
52       taxa_agua_esgoto_inadequados                       0.004666        0.4666     62.5276     
53       prop_ocupados_renda_2_sm                           0.004657        0.4657     62.9934     
54       populacao_mulheres_30_34                           0.004611        0.4611     63.4545     
55       taxa_ocupados_setor_publico                        0.004495        0.4495     63.9040     
56       taxa_freq_4_5                                      0.004472        0.4472     64.3512     
