FEATURE IMPORTANCE - XGBoost
Dataset: Completo | Clustering: Sim
====================================================================================================
Posição  Feature                                            Importância     % Total    % Acumulado 
----------------------------------------------------------------------------------------------------
1        LEITOS_POR_POPULACAO                               0.024763        2.4763     2.4763      
2        renda_pc_quintil_4                                 0.019161        1.9161     4.3924      
3        taxa_envelhecimento                                0.018712        1.8712     6.2636      
4        prop_pobreza_criancas                              0.014751        1.4751     7.7387      
5        populacao_mulheres_75_79                           0.014419        1.4419     9.1806      
6        renda_pc_quintil_1                                 0.012007        1.2007     10.3814     
7        populacao_homens_75_79                             0.011841        1.1841     11.5655     
8        renda_pc_max_quintil_2                             0.011727        1.1727     12.7382     
9        pea_18_mais                                        0.011675        1.1675     13.9056     
10       prop_pobreza_extrema_criancas                      0.011407        1.1407     15.0463     
11       prop_ocupados_extracao                             0.010959        1.0959     16.1422     
12       prop_vulner_pobreza                                0.010615        1.0615     17.2037     
13       taxa_densidade_2_mais                              0.010192        1.0192     18.2229     
14       populacao_homens_70_74                             0.009891        0.9891     19.2119     
15       prop_ocupados_renda_2_sm                           0.009278        0.9278     20.1398     
16       taxa_fundamental_15_17                             0.009137        0.9137     21.0535     
17       taxa_sem_fund_informal                             0.009017        0.9017     21.9552     
18       renda_pc_quintil_3                                 0.008973        0.8973     22.8525     
19       taxa_nest_ntrab_vulner_15_24                       0.008810        0.8810     23.7334     
20       populacao_mulheres_50_54                           0.008695        0.8695     24.6029     
21       renda_pc_max_decil_9                               0.008560        0.8560     25.4589     
22       taxa_dom_sem_fund                                  0.008278        0.8278     26.2867     
23       taxa_atividade_10_14                               0.008225        0.8225     27.1092     
24       taxa_analfabetismo_15_a_17                         0.008156        0.8156     27.9248     
25       taxa_energia_eletrica                              0.007985        0.7985     28.7233     
26       populacao_mulheres_65_69                           0.007465        0.7465     29.4698     
27       populacao_mulheres_45_49                           0.007408        0.7408     30.2106     
28       prop_ocupados_renda_0                              0.006860        0.6860     30.8966     
29       prop_ocupados_medio                                0.006836        0.6836     31.5803     
30       taxa_atraso_2_basico                               0.006784        0.6784     32.2586     
31       taxa_analfabetismo_18_mais                         0.006753        0.6753     32.9339     
32       renda_pc_max_quintil_4                             0.006730        0.6730     33.6069     
33       renda_pc_max_quintil_1                             0.006463        0.6463     34.2532     
34       taxa_fundamental_16_18                             0.006412        0.6412     34.8943     
35       taxa_atraso_1_fundamental                          0.006394        0.6394     35.5337     
36       taxa_atraso_2_fundamental                          0.006229        0.6229     36.1566     
37       populacao_homens_20_24                             0.006168        0.6168     36.7733     
38       renda_pc_quintil_5                                 0.006048        0.6048     37.3782     
39       taxa_criancas_fora_escola_4_5                      0.005906        0.5906     37.9688     
40       populacao_mulheres_25_29                           0.005783        0.5783     38.5471     
41       populacao_mulheres                                 0.005716        0.5716     39.1187     
42       renda_pc_quintil_2                                 0.005670        0.5670     39.6856     
43       prop_ocupados_fundamental                          0.005646        0.5646     40.2502     
44       taxa_atraso_2_medio                                0.005630        0.5630     40.8132     
45       taxa_mulheres_chefe_filho_15m                      0.005618        0.5618     41.3751     
46       indice_escolaridade                                0.005617        0.5617     41.9368     
47       taxa_freq_liquida_fundamental                      0.005557        0.5557     42.4925     
48       populacao_mulheres_10_14                           0.005532        0.5532     43.0457     
49       taxa_freq_fundamental_18_24                        0.005510        0.5510     43.5968     
50       taxa_freq_4_5                                      0.005463        0.5463     44.1431     
51       taxa_atividade_25_29                               0.005460        0.5460     44.6891     
52       taxa_freq_bruta_fundamental                        0.005414        0.5414     45.2305     
53       taxa_freq_liquida_pre                              0.005331        0.5331     45.7636     
54       pea_10_14                                          0.005319        0.5319     46.2956     
55       taxa_atividade_18_mais                             0.005283        0.5283     46.8239     
56       populacao_mulheres_40_44                           0.005188        0.5188     47.3427     
57       taxa_atividade                                     0.005124        0.5124     47.8551     
58       taxa_analfabetismo_11_a_14                         0.005118        0.5118     48.3669     
59       taxa_atividade_18_24                               0.005113        0.5113     48.8782     
60       taxa_freq_bruta_superior                           0.005094        0.5094     49.3876     
61       prob_sobrevivencia_40                              0.004995        0.4995     49.8871     
62       taxa_freq_11_14                                    0.004987        0.4987     50.3858     
63       razao_dependencia                                  0.004972        0.4972     50.8830     
64       populacao_homens_25_29                             0.004970        0.4970     51.3801     
65       taxa_medio_25_mais                                 0.004944        0.4944     51.8745     
66       taxa_freq_superior_15_17                           0.004929        0.4929     52.3674     
67       taxa_medio_18_24                                   0.004909        0.4909     52.8583     
68       indice_treil_trabalho                              0.004896        0.4896     53.3480     
69       taxa_banheiro_agua_encanada                        0.004870        0.4870     53.8350     
70       taxa_freq_liquida_superior                         0.004833        0.4833     54.3183     
71       taxa_criancas_fora_escola_6_14                     0.004762        0.4762     54.7945     
72       prop_ocupados_renda_5_sm                           0.004756        0.4756     55.2701     
73       taxa_medio_18_mais                                 0.004726        0.4726     55.7427     
74       taxa_atraso_0_medio                                0.004721        0.4721     56.2148     
75       taxa_analfabetismo_15_mais                         0.004718        0.4718     56.6866     
76       taxa_analfabetismo_18_a_24                         0.004657        0.4657     57.1523     
77       populacao_homens                                   0.004628        0.4628     57.6152     
78       taxa_ocupados_carteira                             0.004619        0.4619     58.0771     
79       indice_gini                                        0.004581        0.4581     58.5352     
80       populacao_mulheres_15_19                           0.004572        0.4572     58.9924     
81       pea                                                0.004551        0.4551     59.4475     
82       taxa_vulner_desloc_1_hora                          0.004472        0.4472     59.8947     
83       taxa_ocupados_sem_carteira                         0.004468        0.4468     60.3415     
84       razao_20_ricos_40_pobres                           0.004444        0.4444     60.7859     
85       taxa_freq_6_14                                     0.004437        0.4437     61.2296     
86       populacao_mulheres_80_mais                         0.004378        0.4378     61.6674     
87       taxa_fundamental_25_mais                           0.004376        0.4376     62.1051     
88       taxa_analfabetismo_25_a_29                         0.004289        0.4289     62.5340     
89       populacao_mulheres_70_74                           0.004284        0.4284     62.9624     
90       taxa_freq_bruta_pre                                0.004280        0.4280     63.3903     
91       indice_theil                                       0.004224        0.4224     63.8127     
92       taxa_freq_bruta_basico                             0.004204        0.4204     64.2331     
93       renda_pc_pobreza_extrema                           0.004199        0.4199     64.6531     
94       taxa_atraso_0_basico                               0.004195        0.4195     65.0726     
95       pnea_18_mais                                       0.004185        0.4185     65.4910     
96       prop_ocupados_agropecuaria                         0.004172        0.4172     65.9082     
97       taxa_atividade_15_17                               0.004147        0.4147     66.3230     
98       prop_pobreza_extrema                               0.004132        0.4132     66.7362     
99       populacao_homens_55_59                             0.004130        0.4130     67.1492     
100      idhm_l                                             0.004104        0.4104     67.5596     
101      populacao_homens_10_14                             0.004098        0.4098     67.9694     
102      taxa_desocupacao_10_14                             0.004095        0.4095     68.3789     
103      renda_pc_pobreza                                   0.004073        0.4073     68.7862     
104      populacao_homens_15_19                             0.004052        0.4052     69.1914     
105      prop_renda_trabalho                                0.004024        0.4024     69.5938     
106      populacao_homens_35_39                             0.003979        0.3979     69.9917     
