"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"São Pedro do Paraná (PR)","PR","28","2.426","1.154,2"
"Presidente Bernardes (MG)","MG","52","5.379","966,7"
"Marzagão (GO)","GO","19","2.009","945,7"
"Ibirataia (BA)","BA","152","18.877","805,2"
"Pinhalão (PR)","PR","44","6.043","728,1"
"Wenceslau Guimarães (BA)","BA","157","21.587","727,3"
"Jaquirana (RS)","RS","29","4.017","721,9"
"Godoy Moreira (PR)","PR","23","3.205","717,6"
"Formoso (GO)","GO","34","4.754","715,2"
"Rebouças (PR)","PR","96","13.836","693,8"
"São João do Ivaí (PR)","PR","72","11.133","646,7"
"Lunardelli (PR)","PR","31","4.999","620,1"
"São José do Calçado (ES)","ES","62","10.120","612,6"
"Mairipotaba (GO)","GO","14","2.290","611,4"
"Uraí (PR)","PR","66","11.115","593,8"
"Milagres (BA)","BA","65","11.136","583,7"
"Abatiá (PR)","PR","44","7.568","581,4"
"Imaruí (SC)","SC","64","11.166","573,2"
"Ribeirão do Pinhal (PR)","PR","75","13.172","569,4"
"Irajuba (BA)","BA","39","6.850","569,3"
"Riachuelo (SE)","SE","53","9.314","569,0"
"Barro Duro (PI)","PI","39","6.870","567,7"
"Patrocínio do Muriaé (MG)","MG","29","5.117","566,7"
"Santa Rosa de Goiás (GO)","GO","16","2.826","566,2"
"Careaçu (MG)","MG","34","6.141","553,7"
"Cravolândia (BA)","BA","28","5.160","542,6"
"Palma (MG)","MG","34","6.294","540,2"
"Aiquara (BA)","BA","24","4.557","526,7"
"Rio Preto (MG)","MG","27","5.147","524,6"
"Itapaci (GO)","GO","95","18.122","524,2"
"Senador Cortes (MG)","MG","10","1.933","517,3"
"São Pedro dos Ferros (MG)","MG","42","8.129","516,7"
"Itamari (BA)","BA","41","8.017","511,4"
"Ariranha do Ivaí (PR)","PR","12","2.357","509,1"
"Altamira do Paraná (PR)","PR","21","4.199","500,1"
"São Bento do Sapucaí (SP)","SP","51","10.199","500,0"
"Triunfo (PE)","PE","74","14.812","499,6"
"Borrazópolis (PR)","PR","38","7.628","498,2"
"Douradina (PR)","PR","36","7.261","495,8"
"Porciúncula (RJ)","RJ","84","17.030","493,2"
"Cruzmaltina (PR)","PR","15","3.068","488,9"
"Populina (SP)","SP","20","4.095","488,4"
"Itaúba (MT)","MT","22","4.513","487,5"
"Barracão (PR)","PR","46","9.492","484,6"
"Indianópolis (PR)","PR","20","4.131","484,1"
"Nova Londrina (PR)","PR","62","12.825","483,4"
"Vila Lângaro (RS)","RS","10","2.070","483,1"
"Itororó (BA)","BA","94","19.532","481,3"
"Marquinho (PR)","PR","23","4.810","478,2"
"Cerrito (RS)","RS","29","6.132","472,9"
"Santa Isabel do Ivaí (PR)","PR","40","8.520","469,5"
"Coronel Xavier Chaves (MG)","MG","15","3.199","468,9"
"Bom Jardim da Serra (SC)","SC","20","4.271","468,3"
"Butiá (RS)","RS","93","19.886","467,7"
"São Borja (RS)","RS","277","60.055","461,2"
"Divino das Laranjeiras (MG)","MG","22","4.813","457,1"
"Riozinho (RS)","RS","19","4.171","455,5"
"Roncador (PR)","PR","51","11.236","453,9"
"Rio Novo (MG)","MG","38","8.445","450,0"
"Ibarama (RS)","RS","19","4.251","447,0"
"Alvorada D'Oeste (RO)","RO","73","16.599","439,8"
"Serra do Mel (RN)","RN","45","10.243","439,3"
"Faxinal (PR)","PR","70","15.941","439,1"
"Araguapaz (GO)","GO","32","7.304","438,1"
"São Sebastião da Amoreira (PR)","PR","37","8.464","437,1"
"Ouro Verde de Goiás (GO)","GO","17","3.904","435,5"
"Cícero Dantas (BA)","BA","133","30.663","433,7"
"Marilena (PR)","PR","29","6.692","433,4"
"Caetanópolis (MG)","MG","43","9.940","432,6"
"Herculândia (SP)","SP","37","8.571","431,7"
"Saúde (BA)","BA","52","12.101","429,7"
"Santo Inácio (PR)","PR","22","5.121","429,6"
"Aragoiânia (GO)","GO","35","8.165","428,7"
"Doutor Camargo (PR)","PR","24","5.647","425,0"
"Mirabela (MG)","MG","54","12.765","423,0"
"Guadalupe (PI)","PI","43","10.173","422,7"
"Japurá (PR)","PR","35","8.287","422,3"
"Rio Piracicaba (MG)","MG","58","13.767","421,3"
"Várzea Nova (BA)","BA","54","12.853","420,1"
"Guaporema (PR)","PR","9","2.157","417,2"
"Acari (RN)","RN","45","10.845","414,9"
"Ibicuí (BA)","BA","63","15.289","412,1"
"Piraquara (PR)","PR","380","92.237","412,0"
"Santa Inês (BA)","BA","43","10.483","410,2"
"Carrasco Bonito (TO)","TO","15","3.658","410,1"
"Monte Negro (RO)","RO","57","13.901","410,0"
"Conceição do Jacuípe (BA)","BA","122","29.793","409,5"
"Quatiguá (PR)","PR","28","6.848","408,9"
"Gandu (BA)","BA","120","29.528","406,4"
"Mata (RS)","RS","20","4.926","406,0"
"Piatã (BA)","BA","72","17.743","405,8"
"Augustinópolis (TO)","TO","64","15.792","405,3"
"Mato Rico (PR)","PR","15","3.707","404,6"
"Araruna (PR)","PR","53","13.114","404,1"
"Nipoã (SP)","SP","17","4.209","403,9"
"Carlos Chagas (MG)","MG","79","19.583","403,4"
"Igaraçu do Tietê (SP)","SP","93","23.075","403,0"
"Jeceaba (MG)","MG","21","5.225","401,9"
"Monte Aprazível (SP)","SP","85","21.243","400,1"
"Santa Cruz de Goiás (GO)","GO","12","3.011","398,5"
"Pouso Alto (MG)","MG","24","6.024","398,4"
"Itaocara (RJ)","RJ","88","22.189","396,6"
"Sulina (PR)","PR","13","3.281","396,2"
"Jaci (SP)","SP","22","5.556","396,0"
"Duartina (SP)","SP","47","11.928","394,0"
"Bastos (SP)","SP","79","20.077","393,5"
"Várzea do Poço (BA)","BA","33","8.436","391,2"
"Roque Gonzales (RS)","RS","27","6.910","390,7"
"Nerópolis (GO)","GO","93","23.871","389,6"
"Tuneiras do Oeste (PR)","PR","33","8.500","388,2"
"Iretama (PR)","PR","40","10.342","386,8"
"Paracambi (RJ)","RJ","178","46.117","386,0"
"Engenheiro Paulo de Frontin (RJ)","RJ","49","12.717","385,3"
"Perdizes (MG)","MG","54","14.045","384,5"
"Gramado Xavier (RS)","RS","15","3.907","383,9"
"Tabuleiro (MG)","MG","15","3.923","382,4"
"Dueré (TO)","TO","17","4.483","379,2"
"Nova Fátima (PR)","PR","30","7.917","378,9"
"São José do Herval (RS)","RS","8","2.115","378,3"
"Palminópolis (GO)","GO","13","3.437","378,2"
"Silveirânia (MG)","MG","8","2.123","376,8"
"Rondon (PR)","PR","33","8.802","374,9"
"Cerro Negro (SC)","SC","13","3.474","374,2"
"São Jorge do Ivaí (PR)","PR","20","5.352","373,7"
"Ramilândia (PR)","PR","15","4.019","373,2"
"Rolador (RS)","RS","9","2.412","373,1"
"Divina Pastora (SE)","SE","16","4.289","373,0"
"Flórida Paulista (SP)","SP","47","12.618","372,5"
"Senador Firmino (MG)","MG","26","6.992","371,9"
"Igaci (AL)","AL","92","24.851","370,2"
"Pirenópolis (GO)","GO","83","22.457","369,6"
"Santanópolis (BA)","BA","31","8.429","367,8"
"Palmeira d'Oeste (SP)","SP","34","9.301","365,6"
"Campestre (MG)","MG","73","19.974","365,5"
"Tauá (CE)","CE","200","54.885","364,4"
"Alvorada do Norte (GO)","GO","29","7.977","363,5"
"Alvinópolis (MG)","MG","54","14.871","363,1"
"Duas Estradas (PB)","PB","13","3.586","362,5"
"Cantagalo (RJ)","RJ","70","19.314","362,4"
"Imbaú (PR)","PR","40","11.043","362,2"
"Lavras do Sul (RS)","RS","27","7.456","362,1"
"São Félix de Minas (MG)","MG","12","3.315","362,0"
"São João (PR)","PR","37","10.224","361,9"
"São Fidélis (RJ)","RJ","132","36.482","361,8"
"Iúna (ES)","ES","97","26.973","359,6"
"Armazém (SC)","SC","27","7.517","359,2"
"São Sebastião do Alto (RJ)","RJ","31","8.636","359,0"
"Nossa Senhora de Nazaré (PI)","PI","16","4.462","358,6"
"Ichu (BA)","BA","21","5.862","358,2"
"Resende Costa (MG)","MG","38","10.618","357,9"
