Reduzido,Clustering,Regressão Linear,Árvore de Decisão,Random Forest,XGBoost,K-NN,Regressão Linear Bayesiana,Redes Neurais,3-Fold,R²,MSE,max_depth,min_samples_split,n_estimators,learning_rate,n_neighbors,weights,alpha_1,alpha_2,activation,alpha,hidden_layer_sizes
X,X,X,,,,,,,X,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,X,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,X,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,X,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,,X,,,X,0.04483377715478909,1.1490025140353475e-06,N/A,N/A,N/A,N/A,8.0,distance,N/A,N/A,N/A,N/A,N/A
X,X,,,,,,X,,X,0.14289423979516502,1.0310421890087367e-06,N/A,N/A,N/A,N/A,N/A,N/A,8.142720284737898e-05,1.8015284578259513e-05,N/A,N/A,N/A
X,X,,,,,,,X,X,-1.584455489962302,3.10893097385037e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,relu,0.001,"(50, 30)"
X,X,X,,,,,,,,0.14645956327012477,1.0267533379814515e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,X,,,,,,,0.11218932063134224,1.0679781991697678e-06,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,X,,,,,,0.1433655463144311,1.0304752380816981e-06,7.0,N/A,77.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X,X,,,,X,,,,,0.15995999729294308,1.0105131985567343e-06,3.0,N/A,31.0,0.16993301624107598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
